                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.47894,                0.42023,                0.88853,                0.99821,                 0.9999,                0.99496,                0.93383,                0.36717,                0.21388,                0.81881,             8.3661e-05,             8.3661e-05,             8.3661e-05
                     37,                0.47507,                0.41873,                0.88568,                0.99848,                0.99967,                  0.995,                0.93215,                0.37405,                0.21155,                 0.8218,             7.8592e-05,             7.8592e-05,             7.8592e-05
                     38,                0.48484,                0.42162,                0.88756,                0.99846,                0.99961,                0.99478,                0.93154,                0.37363,                0.21249,                 0.8193,             7.3523e-05,             7.3523e-05,             7.3523e-05
                     39,                0.46715,                0.41234,                0.88157,                0.99833,                0.99955,                0.99493,                 0.9371,                0.35831,                0.20412,                0.81315,             6.8454e-05,             6.8454e-05,             6.8454e-05
                     40,                0.46535,                0.40779,                0.88105,                0.99878,                0.99946,                  0.995,                0.93378,                0.37138,                0.20807,                0.81425,             6.3386e-05,             6.3386e-05,             6.3386e-05
                     41,                0.41152,                0.26314,                0.84967,                0.99874,                0.99914,                  0.995,                0.94215,                0.34631,                0.20544,                0.81587,             5.8317e-05,             5.8317e-05,             5.8317e-05
                     42,                0.38951,                0.25314,                0.84363,                0.99892,                0.99954,                  0.995,                0.94211,                0.34281,                0.20063,                0.81153,             5.3248e-05,             5.3248e-05,             5.3248e-05
                     43,                0.38882,                0.24918,                0.84034,                0.99885,                0.99948,                  0.995,                 0.9453,                0.33608,                0.19986,                0.80812,             4.8179e-05,             4.8179e-05,             4.8179e-05
                     44,                0.37283,                0.24373,                0.83916,                0.99899,                0.99948,                  0.995,                0.94211,                0.35138,                0.20074,                0.81952,              4.311e-05,              4.311e-05,              4.311e-05
                     45,                0.36393,                0.24242,                0.83143,                0.99825,                0.99934,                0.99475,                0.94853,                0.32853,                0.19467,                0.80794,             3.8042e-05,             3.8042e-05,             3.8042e-05
                     46,                0.36778,                0.23798,                 0.8304,                0.99869,                0.99955,                  0.995,                0.95324,                0.31683,                0.19024,                0.80462,             3.2973e-05,             3.2973e-05,             3.2973e-05
                     47,                0.35481,                0.23275,                0.82988,                0.99882,                0.99903,                  0.995,                0.95417,                0.31238,                0.18802,                0.80157,             2.7904e-05,             2.7904e-05,             2.7904e-05
                     48,                0.35186,                0.23172,                  0.826,                0.99867,                0.99937,                  0.995,                 0.9539,                0.31151,                0.18498,                0.80117,             2.2835e-05,             2.2835e-05,             2.2835e-05
                     49,                0.34561,                0.22995,                0.82458,                0.99876,                0.99953,                  0.995,                0.94936,                 0.3256,                0.18731,                0.80391,             1.7766e-05,             1.7766e-05,             1.7766e-05
                     50,                0.34007,                0.22396,                0.82161,                0.99892,                0.99925,                  0.995,                0.95584,                0.30696,                0.18322,                0.80004,             1.2698e-05,             1.2698e-05,             1.2698e-05
